id,genero,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,fecha
206,0,2,2,2,2,2,2,2,2,2,2,2025-10-28T21:15:06.5800000
207,0,1,2,2,2,2,2,3,2,2,2,2025-10-28T21:15:18.3630000
208,1,3,4,3,1,3,2,1,1,0,1,2025-10-28T21:15:28.0030000
209,0,1,1,2,2,2,3,1,2,3,3,2025-10-28T21:40:42.6970000
210,0,1,1,2,2,2,3,1,2,3,3,2025-10-28T21:40:42.7770000
211,0,1,1,2,2,2,3,1,2,3,3,2025-10-28T21:40:42.8630000
212,0,1,1,2,2,2,3,1,2,3,3,2025-10-28T21:40:42.9730000
213,0,1,1,2,2,2,3,1,2,3,3,2025-10-28T21:40:42.9730000
214,0,1,1,2,2,2,3,1,2,3,3,2025-10-28T21:40:42.9900000
215,0,2,2,2,0,3,0,2,2,4,3,2025-10-28T21:40:56.9630000
216,0,2,2,2,2,3,2,1,2,1,2,2025-10-28T21:41:14.9830000
217,0,3,2,2,3,2,2,3,2,2,2,2025-10-28T21:41:21.3930000
218,0,2,2,2,3,3,2,2,3,2,2,2025-10-28T21:41:51.5700000
219,1,3,2,2,1,2,3,1,2,3,3,2025-10-28T21:41:52.9470000
220,0,1,1,2,3,2,3,4,3,2,1,2025-10-28T21:41:55.7730000
221,1,4,2,2,1,2,3,1,1,2,2,2025-10-28T21:42:08.2130000
222,0,2,2,2,2,2,1,2,2,2,2,2025-10-28T21:42:55.6030000
223,1,3,4,3,1,0,4,1,1,4,4,2025-10-28T21:43:10.6130000
224,0,0,1,2,3,4,0,0,0,0,1,2025-10-28T21:43:33.8270000
225,1,4,2,4,1,2,2,2,2,3,3,2025-10-28T21:44:34.9700000
226,0,2,2,1,3,3,2,2,3,2,2,2025-10-28T21:45:09.1130000
227,0,2,1,2,0,1,0,2,2,1,2,2025-10-28T21:46:13.1200000
228,1,2,2,3,1,2,3,3,2,3,2,2025-10-28T21:46:48.1300000
229,0,1,2,3,3,2,4,1,2,2,2,2025-10-28T21:47:47.1900000
230,0,1,2,1,2,2,3,3,3,2,1,2025-10-28T21:48:17.8070000
231,0,1,1,1,1,3,1,3,3,1,1,2025-10-28T21:57:07.6400000
232,1,4,4,3,2,2,2,2,2,3,3,2025-10-28T21:57:49.1100000
233,1,3,2,3,2,1,2,2,1,1,2,2025-10-28T21:58:05.9100000
234,0,2,2,3,1,2,3,2,2,2,2,2025-10-28T21:58:50.7600000
235,1,3,2,3,2,2,2,2,2,2,3,2025-10-28T21:59:21.9500000
236,1,2,1,3,2,1,3,3,1,3,3,2025-10-28T21:59:45.2030000
237,1,1,2,2,1,2,2,3,1,1,2,2025-10-28T21:59:58.3530000
238,0,2,3,3,2,1,0,2,2,3,2,2025-10-28T22:00:08.3770000
239,0,2,3,3,2,2,1,3,1,0,2,2025-10-28T22:00:14.1470000
240,0,1,2,1,2,2,2,3,2,2,3,2025-10-28T22:00:18.4400000
241,1,3,2,3,2,2,2,2,2,4,4,2025-10-28T22:00:19.3930000
242,0,1,1,2,2,2,2,2,2,2,2,2025-10-28T22:00:26.1230000
243,1,3,2,2,2,2,2,2,2,2,2,2025-10-28T22:00:41.3030000
244,0,3,2,4,3,0,4,0,4,4,4,2025-10-28T22:00:51.4900000
245,1,2,2,1,3,3,2,3,3,2,2,2025-10-28T22:04:39.6570000
246,0,1,2,1,2,2,2,1,2,3,3,2025-10-28T22:04:49.7000000
247,1,2,2,2,3,2,2,2,4,2,2,2025-10-28T22:04:56.0670000
248,1,2,2,3,2,2,3,2,2,3,4,2025-10-28T22:05:48.8530000
249,1,2,0,2,3,3,2,3,3,1,1,2025-10-28T22:05:49.1600000
250,1,2,0,2,3,3,2,3,3,1,1,2025-10-28T22:05:49.1800000
251,0,3,3,2,2,1,2,2,2,2,0,2025-10-28T22:07:20.1400000
252,0,1,0,2,4,3,2,4,4,0,0,2025-10-28T22:07:45.1530000
253,0,2,1,3,1,0,1,2,3,1,3,2025-10-28T22:08:44.7300000
254,1,3,2,3,2,2,2,2,2,3,3,2025-10-28T22:10:51.9270000
255,0,3,1,1,1,3,1,0,0,0,0,2025-10-28T22:11:43.2900000
256,1,2,2,2,3,3,2,2,2,2,2,2025-10-28T22:11:55.1000000
257,1,2,3,3,1,2,2,1,2,3,3,2025-10-28T22:12:10.6300000
258,1,2,2,1,2,2,3,3,2,1,2,2025-10-28T22:12:14.1130000
259,1,2,1,2,0,3,1,3,2,3,2,2025-10-28T22:12:17.8730000
260,0,2,2,3,3,3,3,3,3,3,2,2025-10-28T22:12:18.1570000
261,0,0,0,0,0,0,0,0,1,2,2,2025-10-28T22:12:30.1900000
262,1,4,3,3,3,3,3,3,3,3,3,2025-10-28T22:13:14.3100000
263,1,2,3,2,2,1,2,2,1,2,2,2025-10-28T22:13:17.8030000
264,0,0,0,0,0,0,0,0,1,2,2,2025-10-28T22:14:52.9230000
265,0,0,0,2,0,1,3,3,2,1,0,2025-10-28T22:15:26.6970000
266,0,3,1,2,2,2,2,2,2,2,2,2025-10-28T22:15:35.7200000
267,0,0,0,2,4,4,2,4,4,4,0,2025-10-28T22:16:36.3530000
268,0,2,3,3,2,2,2,2,2,3,2,2025-10-28T22:16:39.1400000
269,0,1,1,1,1,3,1,3,3,1,1,2025-10-28T22:16:54.8930000
270,1,2,3,4,2,2,2,3,2,2,3,2025-10-28T22:17:29.0970000
271,1,2,2,1,3,2,2,2,2,2,2,2025-10-28T22:17:54.3600000
272,1,2,3,2,2,2,2,3,3,2,3,2025-10-28T22:18:06.2930000
273,0,4,4,4,0,0,4,0,0,4,4,2025-10-28T22:18:15.5930000
274,1,2,3,3,2,2,0,3,3,3,2,2025-10-28T22:18:18.6300000
275,1,4,3,4,2,2,2,1,1,4,4,2025-10-28T22:18:24.5500000
276,1,2,2,2,2,2,2,2,3,2,3,2025-10-28T22:18:48.5470000
277,1,2,4,3,2,2,2,1,3,4,4,2025-10-28T22:19:03.9230000
278,1,0,0,1,1,3,0,3,1,1,1,2025-10-28T22:19:50.3330000
279,1,0,0,1,1,2,1,3,3,2,1,2025-10-28T22:20:38.5800000
280,1,0,0,0,0,0,0,0,0,0,0,2025-10-28T22:20:59.7770000
281,0,3,3,4,2,1,4,2,2,2,4,2025-10-28T22:24:44.4200000
282,0,2,2,3,2,1,2,2,2,2,3,2025-10-28T22:25:06.1500000
283,1,2,1,3,4,2,2,2,3,2,2,2025-10-28T22:25:37.1600000
284,0,4,3,3,2,3,2,2,2,3,4,2025-10-28T22:25:39.6800000
285,1,3,3,4,3,2,1,4,1,4,4,2025-10-28T22:25:40.5500000
286,0,2,2,1,3,2,2,4,2,3,3,2025-10-28T22:25:41.5870000
287,0,2,2,2,2,2,3,2,1,3,3,2025-10-28T22:25:55.5900000
288,1,2,3,2,1,2,3,1,2,2,3,2025-10-28T22:26:05.9600000
289,0,3,2,3,2,2,2,2,2,3,3,2025-10-28T22:26:31.3730000
290,0,3,2,3,1,2,2,2,2,2,3,2025-10-28T22:26:50.6000000
291,0,0,1,0,4,4,1,4,4,0,0,2025-10-28T22:26:59.9830000
292,1,2,2,3,2,2,3,2,3,2,2,2025-10-28T22:27:18.9870000
293,1,2,0,3,2,2,2,2,2,2,2,2025-10-28T22:27:32.6030000
294,0,3,2,2,2,2,1,2,2,3,2,2025-10-28T22:27:35.7600000
295,1,3,2,3,2,3,3,2,2,3,2,2025-10-28T22:27:36.2830000
296,1,4,2,2,2,2,2,3,3,2,2,2025-10-28T22:28:08.8700000
297,1,3,1,3,1,2,2,2,2,3,3,2025-10-28T22:28:51.8470000
298,1,4,1,3,2,1,1,1,1,1,1,2025-10-28T22:32:16.0830000
299,1,4,1,3,2,1,1,1,1,1,1,2025-10-28T22:32:16.1700000
300,1,4,1,3,2,1,1,1,1,1,1,2025-10-28T22:32:16.5700000
301,0,1,1,2,3,3,2,3,3,2,2,2025-10-28T22:32:26.3900000
302,0,2,1,3,2,0,1,0,2,2,2,2025-10-28T22:32:52.5300000
303,0,0,2,3,4,1,2,3,3,2,2,2025-10-28T22:33:04.2700000
304,0,0,2,3,4,1,2,3,3,2,2,2025-10-28T22:33:04.2800000
305,0,0,2,3,4,1,2,3,3,2,2,2025-10-28T22:33:04.3130000
306,0,3,1,3,4,2,0,1,1,2,2,2025-10-28T22:33:27.0770000
307,1,2,3,3,2,2,1,3,2,2,3,2025-10-28T22:33:27.1530000
308,0,1,1,1,2,1,1,1,1,2,2,2025-10-28T22:33:28.8470000
309,0,2,1,2,3,2,2,2,2,2,2,2025-10-28T22:34:08.8300000
310,0,3,3,3,3,2,3,2,2,3,3,2025-10-28T22:34:41.9930000
311,0,1,2,4,2,2,2,3,0,2,4,2025-10-28T22:35:21.0730000
312,1,2,1,2,4,3,2,2,3,1,2,2025-10-28T22:36:21.6500000
313,1,2,2,3,1,2,3,1,1,3,3,2025-10-28T22:36:43.2300000
314,0,2,2,2,3,2,4,3,2,2,2,2025-10-29T15:10:05.3500000
315,0,2,2,2,3,2,4,3,2,2,2,2025-10-29T15:10:05.4900000
316,0,2,2,2,3,2,4,3,2,2,2,2025-10-29T15:10:05.4900000
317,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.5300000
318,0,2,2,2,3,2,4,3,2,2,2,2025-10-29T15:10:05.5400000
319,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.5900000
320,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.5900000
321,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.6000000
322,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.6100000
323,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.6200000
324,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.6700000
325,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.6800000
326,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.6900000
327,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.7300000
328,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.7600000
329,1,3,4,3,0,1,4,2,1,4,3,2025-10-29T15:10:05.7600000
330,1,2,3,3,2,1,4,0,1,4,4,2025-10-29T15:10:20.3400000
331,0,1,2,2,2,2,1,1,1,2,2,2025-10-29T15:10:40.5170000
332,1,4,3,4,2,1,4,2,2,2,4,2025-10-29T15:10:42.9900000
333,1,4,3,4,2,1,4,2,2,2,4,2025-10-29T15:10:43.0170000
334,1,4,3,4,2,1,4,2,2,2,4,2025-10-29T15:10:43.0800000
335,1,2,3,3,1,2,4,2,3,1,4,2025-10-29T15:10:49.2800000
336,0,3,4,2,2,2,4,1,1,1,3,2025-10-29T15:10:51.5700000
337,0,3,4,3,4,1,4,2,2,2,4,2025-10-29T15:11:10.3170000
