id,genero,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,fecha,score_total,label
435,0,1,4,4,4,3,4,3,2,3,4,2025-10-29T17:27:34.2530000,32,1
436,1,4,3,3,2,2,3,2,2,3,4,2025-10-29T17:27:42.3800000,28,1
437,0,2,2,4,3,4,2,4,2,3,1,2025-10-29T17:28:11.3870000,27,1
438,0,2,2,1,3,1,2,2,1,2,2,2025-10-29T17:28:15.3100000,18,0
439,0,2,2,1,3,1,3,2,1,2,2,2025-10-29T17:28:17.6230000,19,0
443,1,3,2,3,2,2,2,3,2,2,2,2025-10-29T17:28:22.5600000,23,1
444,1,1,2,2,1,2,3,2,1,2,2,2025-10-29T17:28:27.9930000,18,0
445,1,2,2,2,1,3,3,3,0,3,2,2025-10-29T17:28:32.7000000,21,1
446,1,2,1,3,0,1,1,3,1,4,1,2025-10-29T17:28:39.8500000,17,0
460,0,2,0,2,0,2,0,3,0,1,3,2025-10-29T17:28:41.8930000,13,0
461,1,4,4,3,2,2,3,3,2,3,4,2025-10-29T17:29:06.1400000,30,1
462,0,3,4,4,1,4,3,4,4,4,4,2025-10-29T17:29:32.7930000,35,1
463,0,2,2,2,0,2,1,2,0,2,1,2025-10-29T17:31:08.0900000,14,0
464,0,2,4,3,4,2,3,0,2,4,4,2025-10-29T17:31:25.2430000,28,1
465,1,4,4,4,0,0,4,0,2,4,4,2025-10-29T17:32:28.5700000,26,1
466,1,2,1,2,1,1,0,1,1,1,1,2025-10-29T17:33:07.5570000,11,0
467,0,4,4,4,3,4,4,3,3,3,4,2025-10-29T17:34:50.6100000,36,1
468,0,2,1,0,0,2,2,2,4,1,2,2025-10-29T17:34:58.7130000,16,0
469,0,2,3,2,1,0,2,1,0,2,1,2025-10-29T17:36:06.3300000,14,0
470,1,2,2,0,2,2,2,2,2,3,3,2025-10-29T17:36:38.5500000,20,0
471,0,1,3,0,4,2,2,3,4,0,0,2025-10-29T17:38:10.3330000,19,0
472,0,4,3,4,1,4,4,3,2,4,4,2025-10-29T17:38:22.3370000,33,1
473,1,3,4,4,3,2,2,2,2,2,2,2025-10-29T17:40:25.1600000,26,1
474,0,2,3,3,2,2,3,1,0,3,2,2025-10-29T17:40:25.4370000,21,1
475,1,3,2,3,3,2,3,2,2,3,4,2025-10-29T17:41:37.3930000,27,1
476,1,2,2,4,2,3,4,2,2,3,3,2025-10-29T17:42:16.9730000,27,1
477,0,3,2,2,0,2,3,2,3,2,3,2025-10-29T17:44:06.5270000,22,1
478,0,4,2,4,3,0,4,0,4,4,4,2025-10-31T16:22:57.1930000,29,1
480,0,1,3,3,0,0,1,1,0,0,1,2025-10-31T16:23:14.6100000,10,0
483,0,2,1,3,1,1,0,1,2,3,1,2025-10-31T16:24:32.5100000,15,0
484,0,1,2,1,2,2,2,2,3,3,3,2025-10-31T16:24:40.9230000,21,1
485,0,3,3,2,2,2,3,2,2,3,3,2025-10-31T16:24:42.6400000,25,1
488,0,4,4,3,2,3,2,4,2,4,2,2025-10-31T16:25:42.6130000,30,1
489,0,0,0,2,2,1,1,2,1,2,2,2025-10-31T16:25:51.0130000,13,0
491,1,4,4,4,4,4,3,4,4,4,4,2025-10-31T16:26:42.4700000,39,1
